filename,station_name,n_years,completeness,longitude,latitude,country
a121tg-a12-nld-cmems,a121tg,11,5.0967,3.8099999,55.400002,NLD
a2tg-a2t-bel-cmems,a2tg,2,5.2385,3.11833,51.3606,BEL
aalesundtg-aal-nor-cmems,aalesundtg,66,3.9029,6.1519461,62.469414,NOR
aarhus-aar-dnk-cmems,aarhus,21,5.5866,10.2167,56.150002,DNK
aasiaat-aas-grl-gloss,aasiaat,3,2.6732,-52.8833,68.71,GRL
abashiri-347-jpn-uhslc_fd,abashiri,58,0.9906,144.283,44.017,JPN
abashiri-347a-jpn-uhslc_rq,abashiri_v2,69,0.9872,144.283,44.017,JPN
abashiri-ma02-jpn-jodc_jma,abashiri_v3,57,0.9831,144.28583333,44.01945,JPN
abbotts_harbour-382-can-meds,abbotts_harbour,3,0.2119,-65.82,43.67,CAN
abercorn_creek_at_mouth_near_savannah_ga-2198820-usa-usgs,abercorn_creek_at_mouth_near_savannah_ga,12,0.9096,-81.1536111,32.24916667,USA
abercorn_creek_near_savannahga-2198810-usa-usgs,abercorn_creek_near_savannahga,17,0.9433,-81.1780278,32.25602778,USA
aberdeen-9441187-usa-noaa,aberdeen,2,0.9777,-123.853,46.9683,USA
aberdeen-abe-gbr-bodc,aberdeen_v2,76,2.3305,-2.080222,57.144028,GBR
aberdeen-abe-gbr-cmems,aberdeen_v3,36,0.9269,-2.0833299,57.150002,GBR
abidjanridi-230a-civ-uhslc_rq,abidjanridi,7,1.0008,-4.0,5.242,CIV
abrams_river-380-can-meds,abrams_river,1,0.3808,-65.95,43.83,CAN
absecon_channel_at_atlantic_city_nj-1410600-usa-usgs,absecon_channel_at_atlantic_city_nj,22,1.0177,-74.4236111,39.37777778,USA
absecon_creek_at_absecon_nj-1410510-usa-usgs,absecon_creek_at_absecon_nj,24,0.9416,-74.5,39.42305556,USA
aburatsu-354-jpn-uhslc_fd,aburatsu,65,0.9916,131.417,31.567,JPN
aburatsu-354a-jpn-uhslc_rq,aburatsu_v2,92,1.0211,131.417,31.583,JPN
aburatsu-ma41-jpn-jodc_jma,aburatsu_v3,64,0.985,131.40945,31.57695,JPN
acadia_cove-4170-can-meds,acadia_cove,2,0.5249,-64.9,61.34,CAN
acajutla-082-slv-uhslc_fd,acajutla,16,0.9296,-89.833,13.583,SLV
acajutla-082a-slv-uhslc_rq,acajutla_v2,40,0.9766,-89.833,13.583,SLV
acajutla-082b-slv-uhslc_rq,acajutla_v3,9,0.9331,-89.833,13.583,SLV
acajutla-082c-slv-uhslc_rq,acajutla_v4,9,0.9303,-89.838,13.573,SLV
acajutla-9648958-usa-noaa,acajutla_v5,1,0.5807,-89.85,13.5833,USA
acapulco-316-mex-unam_hist,acapulco,55,1.0371,-99.90333333,16.83833333,MEX
acapulco_gro-316-mex-uhslc_fd,acapulco_gro,5,0.7851,-99.912,16.84,MEX
acapulco_gro-316a-mex-uhslc_rq,acapulco_gro_v2,42,1.0404,-99.912,16.84,MEX
acapulco_gro-316b-mex-uhslc_rq,acapulco_gro_v3,7,0.9839,-99.912,16.84,MEX
acapulco_gro-316c-mex-uhslc_rq,acapulco_gro_v4,5,0.7851,-99.852,16.842,MEX
acapulcoapi_nivelcbs-41-mex-unam,acapulcoapi_nivelcbs,4,7.5853,-99.90333333,16.83833333,MEX
acapulcoapi_radar-41-mex-unam,acapulcoapi_radar,4,45.1823,-99.90333333,16.83833333,MEX
acapulcoyates_flotador-2-mex-unam,acapulcoyates_flotador,4,42.8093,-99.90333333,16.83833333,MEX
adak_alaska-040-usa-uhslc_fd,adak_alaska,76,0.9913,-176.635,51.858,USA
adak_alaska-040a-usa-uhslc_rq,adak_alaska_v2,72,0.9978,-176.632,51.863,USA
adak_island-9461380-usa-noaa,adak_island,76,0.9753,-176.632,51.863306,USA
adams_bayou_at_fm_3247_nr_orange_tx-8030730-usa-usgs,adams_bayou_at_fm_3247_nr_orange_tx,8,0.7955,-93.7866111,30.13194444,USA
adams_bayou_at_sh87_nr_orange_tx-8030800-usa-usgs,adams_bayou_at_sh87_nr_orange_tx,8,0.81,-93.7497889,30.09347778,USA
aden-172-yem-uhslc_fd,aden,12,0.9281,44.983,12.783,YEM
aden-172a-yem-uhslc_rq,aden_v2,8,0.9041,44.975,12.788,YEM
admiralty_inlet-65865-can-meds,admiralty_inlet,1,0.0817,-85.5,73.52,CAN
admiralty_island-6220-can-meds,admiralty_island,1,0.0898,-100.99,69.45,CAN
aero_trading-9338-can-meds,aero_trading,3,0.5003,-130.29,54.21,CAN
agnes_cove-9455120-usa-noaa,agnes_cove,1,0.7203,-149.588,59.7733,USA
aguadilla-9759412-usa-noaa,aguadilla,7,0.9762,-67.164583,18.456639,USA
aguadilla_pr-263a-usa-uhslc_rq,aguadilla_pr,7,0.9094,-67.163,18.457,USA
aguchik_island-9456901-usa-noaa,aguchik_island,1,0.4813,-154.27,58.29,USA
aha,aha,0,,,,
aialik_bay-9455145-usa-noaa,aialik_bay,1,0.655,-149.715,59.9533,USA
aialik_sill-9455146-usa-noaa,aialik_sill,1,0.863,-149.718,59.885,USA
aigio-aig-grc-cmems,aigio,9,0.7257,22.076851,38.257141,GRC
aiguillon_sur_mer-6257-fra-refmar,aiguillon_sur_mer,3,0.3153,-1.316389,46.335,FRA
aiguillonsurmertg_60minute-aig-fra-cmems,aiguillonsurmertg_60minute,3,0.3153,-1.31639,46.334999,FRA
